@relation ceratocystis1
% ceratocystis_test_90_10_rgb_11_fs9_res1

@attribute feature2 numeric
@attribute feature5 numeric
@attribute feature23 numeric
@attribute feature27 numeric
@attribute feature32 numeric
@attribute feature34 numeric
@attribute feature35 numeric
@attribute feature45 numeric
@attribute class {1,2,3}

@data
130.26,33.6379,15,127.756914,21.910264,261,287,512,1
134.35,8.37,4,132.381605,3.999662,213,289,622,1
131.09,14.9316,8,130.794321,4.516847,262,339,630,1
133.2,5.1331,12,131.893086,3.31642,217,309,752,1
131.23,14.7219,7,127.108889,4.30429,238,520,931,1
127.38,61.7475,17,124.072346,8.352967,274,297,489,1
132.15,5.3011,4,131.590123,4.609181,226,305,728,1
132.83,42.41,13,130.041605,4.932312,242,271,583,1
132.59,38.5164,16,130.261728,11.441998,255,291,545,1
129.03,11.7464,8,126.986049,4.053711,302,267,467,1
132.9,27.4904,5,128.810617,4.932301,233,516,968,1
128.4,17.2219,8,125.750617,32.458459,282,304,479,1
132.05,15.3476,4,132.001975,5.232582,209,298,673,1
130.4,3.6644,8,130.625926,8.480904,211,325,627,1
130,9.2784,12,125.017654,17.568711,235,303,512,1
132.61,1.6564,8,132.283827,3.075624,215,409,864,1
131.8,44.7756,18,129.330741,15.067244,285,328,572,1
129.23,131.82,12,126.647778,22.616405,256,295,505,1
131.6,13.1216,4,132.372593,2.465473,203,336,785,1
131.36,21.3739,1,131.491358,2.389644,204,307,706,1
129.44,20.7596,17,123.361481,39.228979,271,296,467,1
129.68,9.8584,12,128.904321,19.536927,241,306,546,1
130.71,2.2275,5,131.253457,9.646208,230,396,775,1
131.45,29.0139,9,125.824815,17.662568,288,295,468,1
131.66,63.4651,2,129.788889,3.021855,268,427,873,1
129.78,27.9296,18,129.727407,12.305624,246,325,530,1
131.37,64.3859,11,126.948025,9.159574,301,327,517,1
131.71,5.6776,8,131.505926,3.556255,221,309,752,1
128.17,24.22,8,127.62716,11.675085,253,288,500,1
132.44,19.1275,5,128.795062,13.70822,268,295,516,1
132.12,40.2459,2,130.443951,3.719675,290,456,814,1
130.73,30.6075,0,131.119012,10.463304,210,350,756,1
132.19,17.1,14,129.406543,10.842122,245,296,612,1
132.96,40.56,20,130.94284,6.032222,213,289,592,1
133.15,16.0296,2,130.887037,4.665735,227,461,952,1
131.04,4.4875,3,131.432222,3.333407,194,291,655,1
