@relation 'ceratocystis_test_90_10_rgb_11-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5-weka.filters.supervised.instance.Resample-B1.0-S1-Z20.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R1-3'

@attribute feature2 numeric
@attribute feature5 numeric
@attribute feature23 numeric
@attribute feature27 numeric
@attribute feature32 numeric
@attribute feature34 numeric
@attribute feature35 numeric
@attribute feature45 numeric
@attribute class {0,1,2}

@data
131.5,57.3611,15,126.282716,20.130355,291,299,497,0
131.23,31.8044,16,130.11679,16.422561,235,294,527,0
130.83,11.91,0,129.899877,7.261573,246,465,960,0
131.53,14.7739,8,128.628025,8.061028,226,289,606,0
132.9,153.2611,4,129.30963,11.672008,285,441,767,0
131.73,6.7284,12,131.39037,4.87775,227,302,713,0
130.96,40.4884,1,130.262346,11.17516,237,466,896,0
130.98,5.2571,11,131.561481,4.486546,188,432,937,0
128.39,25.9996,7,125.547037,35.016255,275,296,467,0
131.75,8.8531,15,130.385556,6.030676,226,307,624,0
132.51,47.1096,2,131.28321,12.641489,221,325,636,0
132.55,4.1475,7,132.358889,2.383397,206,337,733,0
132.46,31.1836,6,127.978272,6.946781,295,464,788,0
132.13,33.3476,5,132.28037,2.401594,206,324,805,0
130.77,23.2339,3,128.205432,4.367142,232,487,934,0
133.07,13.3924,7,128.998765,11.16318,251,280,499,0
131.7,18.7475,7,130.015802,12.480028,242,478,949,0
130.64,70.5579,18,130.80037,6.871363,224,434,850,0
132.29,51.8419,4,131.10321,9.939877,207,360,711,0
133.46,7.5059,8,131.755926,3.523989,226,313,743,0
129.7,14.3851,8,126.792099,7.217317,280,252,455,0
132.26,49.1291,15,130.234938,5.546721,234,282,648,0
132.4,56.4444,7,130.61963,6.582933,274,359,614,0
131.26,19.9331,15,131.178272,4.772403,248,308,615,0
131.97,6.4044,2,132.154691,2.626697,217,307,657,0
133.86,6.2531,9,131.584321,4.978494,206,328,784,0
131.14,12.4816,2,129.824691,9.370515,247,434,804,0
131.38,33.7636,8,131.099506,6.579265,206,366,800,0
129.96,12.4084,13,129.044691,4.46012,269,268,520,0
132.62,12.8251,17,131.35037,4.540242,277,423,796,0
132.57,63.8444,11,129.245062,5.176615,238,266,556,0
132.86,8.8971,1,131.535309,3.807892,223,307,732,0
133.05,27.8944,4,131.578642,8.895606,253,274,604,0
133.42,9.8924,17,131.49716,5.046299,206,276,602,0
131.26,4.7844,8,131.398642,4.903639,209,440,980,0
130.79,30.6475,3,128.885802,3.972081,233,482,943,0
132.83,55.7091,1,129.83284,3.310537,298,448,823,0
131.31,6.9411,9,128.729012,6.534425,233,290,551,0
131.62,199.0576,1,130.975062,11.45795,228,317,615,0
132.4,5.9739,7,131.69716,3.766422,227,317,758,0
128.52,30.5411,15,126.010494,11.553085,278,283,463,0
132.96,20.5891,2,131.028148,3.601245,224,445,923,0
132.15,10.3184,3,132.108642,3.24662,197,305,732,0
130.79,21.31,16,129.95642,10.671983,267,459,799,0
130.46,9.0979,14,130.773333,11.943788,234,453,919,0
131.19,35.7819,15,129.869753,8.152248,220,293,635,0
130.08,98.1616,15,128.91679,21.143616,257,259,486,0
132.65,5.7875,13,131.224691,7.972121,228,314,615,0
132.87,31.08,9,130.840123,4.72251,229,271,588,0
132.65,148.6484,3,131.222346,13.302433,208,360,681,0
130.53,3.4256,10,131.078148,8.279475,218,402,930,0
131.81,20.9139,5,128.186543,5.210708,250,259,543,0
130.19,72.0275,20,130.314691,4.1462,231,318,654,0
131.44,39.1819,7,128.507778,4.592785,294,459,792,0
129.97,29.7051,12,129.05679,2.851656,282,457,808,0
131.61,7.7336,13,130.368395,10.178897,257,244,513,0
130.15,10.2184,5,127.484074,4.13623,253,483,933,0
132.43,15.8004,9,127.626914,16.167459,263,296,562,0
131.95,4.1491,4,130.764321,9.716465,226,426,893,0
132.02,25.08,6,129.928519,6.105328,276,351,595,0
133.28,8.4636,2,132.204568,2.805958,206,304,700,0
129.37,24.5516,9,124.080123,16.467332,273,272,474,0
130.08,24.3004,1,126.545309,3.558354,275,548,1007,0
132.4,1.7859,6,132.05284,3.917369,198,403,962,0
132.74,24.81,11,131.695309,3.560506,262,344,669,0
131.77,13.6424,3,132.318148,2.567113,205,323,744,0
132.75,29.8179,17,131.652222,8.007181,208,342,751,0
133.51,12.0275,8,132.169259,3.268793,196,333,841,0
132.94,14.4651,4,128.580617,3.70554,244,535,1021,0
131.74,18.1184,7,132.114444,3.404221,185,316,761,0
129.96,89.5804,6,127.216543,6.544952,279,486,833,0
130.98,15.9451,4,129.664198,5.304105,227,469,1014,0
130.9,55.1475,2,129.730247,4.3825,271,427,810,0
133.43,22.9136,13,131.299506,4.287464,243,330,706,0
131.96,18.19,1,131.664074,2.949893,190,311,707,0
131.61,167.5531,11,131.365926,8.61083,222,323,637,0
131.69,22.1,9,132.10284,2.971328,190,354,896,0
130.85,33.7931,15,131.088519,12.240948,210,372,811,0
132.15,37.9091,13,129.969012,5.872031,201,318,678,0
132.66,92.2756,2,131.832716,4.386979,207,311,699,0
